id_penjualan,id_invoice,tanggal,id_customer,nama_customer,nama_barang,cabang_sales,id_distributor,group_category,jumlah_barang,total_barang,total_pembelian
IN5978BRG0001,IN5978,2022-05-25,CUST55670,APOTEK SINAR JAYA,ACYCLOVIR DUS,Bekasi,TA,Apotek,9,1,10529.190000000001
IN5979BRG0009,IN5979,2022-03-28,CUST55598,APOTEK MAJA,AMBROXOL HC,Kuningan,TA,Apotek,18,1,104052.59999999999
IN5980BRG0003,IN5980,2022-01-23,CUST55432,APOTEK TAPAK,AMPICILLIN,Aceh,EPM,Apotek,20,1,213812
IN5981BRG0004,IN5981,2022-01-28,CUST55443,APOTEK MERDEKA,TRAMADOL KAPSUL 50 MG,Bandung,TA,Apotek,76,1,661253.20000000007
IN5982BRG0006,IN5982,2022-01-30,CUST55535,APOTEK SINAR JAYA,KETOCONAZOLE TABLET 200 MG,Bekasi,TA,Apotek,5,1,14096
IN5983BRG0003,IN5983,2022-04-21,CUST55622,KLINIK GM,AMPICILLIN,Jakarta,TA,Klinik,67,1,716270.20000000007
IN5984BRG0005,IN5984,2022-05-01,CUST55714,KLINIK SAHABAT,KLORPROMAZINA TABLET SALUT SELAPUT 100 MG,Tangerang,TD,Klinik,8,1,45186.400000000001
IN5985BRG0001,IN5985,2022-04-18,CUST55640,APOTEK SINAR JAYA,ACYCLOVIR DUS,Bekasi,TA,Apotek,21,1,24568.110000000001
IN5986BRG0002,IN5986,2022-02-15,CUST55557,APOTEK SINAR JAYA,ALERGINE TABLET SALUT,Bekasi,TA,Apotek,9,1,35927.099999999999
IN5987BRG0010,IN5987,2022-04-19,CUST55659,KLINIK GM,PARACETAMOL,Jakarta,TA,Klinik,13,1,90223.900000000009
IN5988BRG0002,IN5988,2022-02-09,CUST55551,APOTEK SAHABAT,ALERGINE TABLET SALUT,Padang,EPM,Apotek,10,1,23375
IN5989BRG0010,IN5989,2022-05-01,CUST55719,KLINIK GM,PARACETAMOL,Jakarta,TA,Klinik,67,1,465000.10000000003
IN5990BRG0001,IN5990,2022-05-03,CUST55706,KLINIK SAHABAT,ACYCLOVIR DUS,Tangerang,TD,Klinik,10,1,45921
IN5991BRG0005,IN5991,2022-01-23,CUST55414,KLINIK SAHABAT,KLORPROMAZINA TABLET SALUT SELAPUT 100 MG,Tangerang,TD,Klinik,24,1,135559.20000000001
IN5992BRG0002,IN5992,2022-06-16,CUST55707,APOTEK SINAR JAYA,ALERGINE TABLET SALUT,Bekasi,TA,Apotek,23,1,91813.699999999997
IN5993BRG0002,IN5993,2022-05-26,CUST55671,APOTEK SAHABAT,ALERGINE TABLET SALUT,Padang,EPM,Apotek,1,1,2337.5
IN5994BRG0002,IN5994,2022-02-01,CUST55411,APOTEK MAJA,ALERGINE TABLET SALUT,Kuningan,TA,Apotek,12,1,28050
IN5995BRG0008,IN5995,2022-04-06,CUST55607,KLINIK GM,TETRACYCLINE KAPSUL 250 MG,Jakarta,TA,Klinik,13,1,51894.700000000004
IN5996BRG0007,IN5996,2022-05-25,CUST55656,APOTEK SAHABAT,ERGOTAMINE COFFEINE,Padang,EPM,Apotek,21,1,96434.100000000006
IN5997BRG0001,IN5997,2022-01-20,CUST55380,APOTEK TAPAK,ACYCLOVIR DUS,Aceh,EPM,Apotek,1,1,1169.9100000000001
IN5998BRG0001,IN5998,2022-04-09,CUST55610,APOTEK SINAR JAYA,ACYCLOVIR DUS,Bekasi,TA,Apotek,23,1,26907.93
IN5999BRG0003,IN5999,2022-05-01,CUST55632,APOTEK SINAR JAYA,AMPICILLIN,Bekasi,TA,Apotek,5,1,53453
IN6000BRG0008,IN6000,2022-06-16,CUST55717,APOTEK TAPAK,TETRACYCLINE KAPSUL 250 MG,Aceh,EPM,Apotek,7,1,27943.299999999999
IN6001BRG0004,IN6001,2022-04-02,CUST55603,APOTEK SAHABAT,TRAMADOL KAPSUL 50 MG,Padang,EPM,Apotek,21,1,182714.70000000001
