id_penjualan,id_invoice,tanggal,id_customer,nama_customer,id_barang,nama_barang,harga,jumlah_barang,unit,total_harga_per_barang,mata_uang,kode_brand,brand,cabang_sales,id_distributor,group_category
IN5997BRG0001,IN5997,2022-01-20,CUST55380,APOTEK TAPAK,BRG0001,ACYCLOVIR DUS,1169.9100000000001,1,DUS,1169.9100000000001,IDR,206,OGB & PH,Aceh,EPM,Apotek
IN6297BRG0002,IN6297,2022-01-20,CUST55381,APOTEK MAJA,BRG0002,ALERGINE TABLET SALUT,2337.5,5,DUS,11687.5,IDR,203,ETIKAL,Kuningan,TA,Apotek
IN6155BRG0003,IN6155,2022-01-21,CUST55382,KLINIK GM,BRG0003,AMPICILLIN,10690.6,9,DUS,96215.400000000009,IDR,210,MARCKS,Jakarta,TA,Klinik
IN6144BRG0004,IN6144,2022-01-22,CUST55383,APOTEK MERDEKA,BRG0004,TRAMADOL KAPSUL 50 MG,8700.7000000000007,13,DUS,113109.10000000001,IDR,201,VNS,Bandung,TA,Apotek
IN6280BRG0005,IN6280,2022-01-23,CUST55384,KLINIK SAHABAT,BRG0005,KLORPROMAZINA TABLET SALUT SELAPUT 100 MG,5648.3000000000002,1,DUS,5648.3000000000002,IDR,203,SLCYL,Tangerang,TD,Klinik
IN6052BRG0006,IN6052,2022-01-23,CUST55385,APOTEK SINAR JAYA,BRG0006,KETOCONAZOLE TABLET 200 MG,2819.1999999999998,5,DUS,14096,IDR,205,OGB & PH,Bekasi,TA,Apotek
IN6089BRG0007,IN6089,2022-01-25,CUST55386,APOTEK SAHABAT,BRG0007,ERGOTAMINE COFFEINE,4592.1000000000004,9,DUS,41328.900000000001,IDR,206,ETIKAL,Padang,EPM,Apotek
IN6251BRG0008,IN6251,2022-01-23,CUST55387,APOTEK TAPAK,BRG0008,TETRACYCLINE KAPSUL 250 MG,3991.9000000000001,1,DUS,3991.9000000000001,IDR,204,MARCKS,Aceh,EPM,Apotek
IN6036BRG0009,IN6036,2022-01-27,CUST55388,APOTEK MAJA,BRG0009,AMBROXOL HC,5780.6999999999998,23,DUS,132956.10000000001,IDR,207,VNS,Kuningan,TA,Apotek
IN6029BRG0010,IN6029,2022-01-28,CUST55389,KLINIK GM,BRG0010,PARACETAMOL,6940.3000000000002,4,DUS,27761.200000000001,IDR,208,SLCYL,Jakarta,TA,Klinik
